1,1,1,50
1,1,2,45
1,1,3,50
1,1,4,50
1,1,5,45
1,1,6,50
1,1,7,50
1,1,8,45
1,1,9,50
1,1,10,50
1,2,1,50
1,2,2,45
1,2,3,50
1,2,4,50
1,2,5,45
1,2,6,50
1,2,7,50
1,2,8,45
1,2,9,50
1,2,10,50
1,3,1,50
1,3,2,45
1,3,3,50
1,3,4,50
1,3,5,45
1,4,1,50
1,4,2,45
1,4,3,50
1,4,4,50
1,4,5,45
1,5,1,50
1,5,2,45
1,5,3,50
1,5,4,50
1,5,5,45
2,1,1,60
2,1,2,60
2,1,3,60
2,1,4,60
2,1,5,60
2,1,6,60
2,1,7,60
2,1,8,60
2,1,9,60
2,1,10,60
2,2,1,60
2,2,2,60
2,2,3,60
2,2,4,60
2,2,5,60
2,2,6,60
2,2,7,60
2,2,8,60
2,2,9,60
2,3,1,60
2,3,2,60
2,3,4,60
2,3,4,60
2,3,5,60
2,4,1,60
2,4,2,60
2,4,3,60
2,4,4,60
2,4,5,60
3,1,1,60
3,1,2,60
3,1,3,60
3,1,4,60
3,1,5,60
3,2,1,60
3,2,2,60
3,2,3,60
3,2,4,60
3,2,5,60
3,3,1,60
3,3,2,60
3,3,3,60
3,3,4,60
3,3,5,60
3,4,1,60
3,4,2,60
3,4,3,60
3,4,4,60
3,4,5,60
4,1,1,60
4,1,2,60
4,1,3,60
4,1,4,60
4,1,5,60
4,2,1,60
4,2,2,60
4,2,3,60
4,2,4,60
4,2,5,60
4,3,1,60
4,3,2,60
4,3,2,60
4,3,4,60
4,3,5,60
4,4,1,60
4,4,2,60
4,4,3,60
4,4,4,60
4,4,5,60
5,1,1,60
5,1,2,60
5,1,3,60
5,1,4,60
5,1,5,60
5,2,1,60
5,2,2,60
5,2,3,60
5,2,4,60
5,2,5,60
5,3,1,60
5,3,2,60
5,3,3,60
5,3,4,60
5,3,5,60
5,4,1,60
5,4,2,60
5,4,3,60
5,4,4,60
5,4,5,60
6,1,1,60
6,1,2,60
6,1,3,60
6,1,4,60
6,1,5,60
6,2,1,60
6,2,2,60
6,2,3,60
6,2,4,60
6,2,5,60
6,3,1,60
6,3,2,60
6,3,3,60
6,3,4,60
6,3,5,60
6,4,1,60
6,4,2,60
6,4,3,60
6,4,4,60
6,4,5,60
